company,dif,timestamp
ACCIONA,3.66,15:44:42
ACS,0.5,15:44:01
ALMIRALL,2.66,15:44:27
AMADEUS,0.94,15:39:19
BANKINTER,0.15,15:44:49
CAIXABANK,1.21,15:42:13
CELLNEX,2.59,15:43:17
ENAGAS,0.79,15:44:51
ENDESA,2.78,15:44:29
FERROVIAL,0.17,15:43:54
FLUIDRA,1.4,15:44:52
GRIFOLS CL.A,0.92,15:44:29
IAG,0.95,15:44:53
IBERDROLA,4.09,15:43:39
INDITEX,1.26,15:42:47
INM.COLONIAL,0.97,15:44:13
MAPFRE,1.24,15:43:00
MELIA HOTELS,0.68,15:44:54
MERLIN,0.09,15:44:39
NATURGY,3.46,15:44:40
PHARMA MAR,1.65,15:44:51
R.E.C.,2.38,15:44:49
REPSOL,2.69,15:44:43
ROVI,0.59,15:44:07
SIEMENS GAME,7.74,15:44:45
SOLARIA,6.66,15:37:36
TELEFONICA,1.1,15:43:29
ACERINOX,-1.26,15:42:26
AENA,-0.21,15:43:32
ARCELORMIT.,-2.75,15:43:12
B.SANTANDER,-1.1,15:44:54
BA.SABADELL,-0.32,15:44:39
BBVA,-1.6,15:43:33
CIE AUTOMOT.,-2.82,15:44:33
INDRA A,-0.99,15:44:50
ACCIONA,3.66,15:44:42
ACS,0.5,15:44:01
ALMIRALL,2.66,15:44:27
AMADEUS,0.94,15:39:19
BANKINTER,0.15,15:44:49
CAIXABANK,1.21,15:42:13
CELLNEX,2.59,15:43:17
ENAGAS,0.79,15:44:51
ENDESA,2.78,15:44:29
FERROVIAL,0.17,15:43:54
FLUIDRA,1.4,15:44:52
GRIFOLS CL.A,0.92,15:44:29
IAG,0.95,15:44:53
IBERDROLA,4.09,15:43:39
INDITEX,1.26,15:42:47
INM.COLONIAL,0.97,15:44:13
MAPFRE,1.24,15:43:00
MELIA HOTELS,0.68,15:44:54
MERLIN,0.09,15:44:39
NATURGY,3.46,15:44:40
PHARMA MAR,1.65,15:44:51
R.E.C.,2.38,15:44:49
REPSOL,2.69,15:44:43
ROVI,0.59,15:44:07
SIEMENS GAME,7.74,15:44:45
SOLARIA,6.66,15:37:36
TELEFONICA,1.1,15:43:29
ACERINOX,-1.26,15:42:26
AENA,-0.21,15:43:32
ARCELORMIT.,-2.75,15:43:12
B.SANTANDER,-1.1,15:44:54
BA.SABADELL,-0.32,15:44:39
BBVA,-1.6,15:43:33
CIE AUTOMOT.,-2.82,15:44:33
INDRA A,-0.99,15:44:50
ACCIONA,3.6,15:45:11
ACS,0.5,15:45:01
ALMIRALL,2.58,15:44:27
AMADEUS,1.05,15:39:19
BANKINTER,0.15,15:45:25
CAIXABANK,1.21,15:45:20
CELLNEX,2.61,15:43:17
ENAGAS,0.79,15:45:19
ENDESA,2.86,15:45:25
FERROVIAL,0.21,15:43:54
FLUIDRA,1.4,15:45:27
GRIFOLS CL.A,0.98,15:44:29
IAG,0.98,15:45:19
IBERDROLA,4.19,15:45:30
INDITEX,1.46,15:42:47
INM.COLONIAL,1.09,15:45:31
MAPFRE,1.29,15:45:27
MELIA HOTELS,0.83,15:44:54
MERLIN,0.09,15:45:09
NATURGY,3.46,15:45:18
PHARMA MAR,1.65,15:45:30
R.E.C.,2.54,15:45:30
REPSOL,2.69,15:44:43
ROVI,0.59,15:45:27
SIEMENS GAME,7.96,15:45:29
SOLARIA,6.85,15:45:28
TELEFONICA,1.08,15:43:29
ACERINOX,-1.32,15:42:26
AENA,-0.21,15:43:32
ARCELORMIT.,-2.75,15:45:23
B.SANTANDER,-1.13,15:45:28
BA.SABADELL,-0.32,15:44:39
BBVA,-1.62,15:45:28
CIE AUTOMOT.,-2.72,15:45:28
INDRA A,-0.99,15:45:14
ACCIONA,3.6,15:45:11
ACS,0.5,15:45:01
ALMIRALL,2.58,15:44:27
AMADEUS,1.05,15:39:19
BANKINTER,0.15,15:45:25
CAIXABANK,1.21,15:45:20
CELLNEX,2.61,15:43:17
ENAGAS,0.79,15:45:19
ENDESA,2.86,15:45:25
FERROVIAL,0.21,15:43:54
FLUIDRA,1.4,15:45:27
GRIFOLS CL.A,0.98,15:44:29
IAG,0.98,15:45:19
IBERDROLA,4.24,15:45:30
INDITEX,1.46,15:45:32
INM.COLONIAL,1.09,15:45:31
MAPFRE,1.29,15:45:27
MELIA HOTELS,0.83,15:44:54
MERLIN,0.09,15:45:09
NATURGY,3.46,15:45:18
PHARMA MAR,1.65,15:45:32
R.E.C.,2.54,15:45:30
REPSOL,2.69,15:44:43
ROVI,0.59,15:45:27
SIEMENS GAME,7.96,15:45:29
SOLARIA,6.85,15:45:28
TELEFONICA,1.08,15:45:31
ACERINOX,-1.32,15:42:26
AENA,-0.21,15:43:32
ARCELORMIT.,-2.75,15:45:23
B.SANTANDER,-1.13,15:45:28
BA.SABADELL,-0.32,15:44:39
BBVA,-1.62,15:45:28
CIE AUTOMOT.,-2.72,15:45:28
INDRA A,-0.99,15:45:14
ACCIONA,3.6,15:45:11
ACS,0.5,15:45:01
ALMIRALL,2.58,15:44:27
AMADEUS,1.05,15:39:19
BANKINTER,0.15,15:45:25
CAIXABANK,1.21,15:45:20
CELLNEX,2.61,15:43:17
ENAGAS,0.79,15:45:19
ENDESA,2.86,15:45:25
FERROVIAL,0.21,15:43:54
FLUIDRA,1.4,15:45:27
GRIFOLS CL.A,0.98,15:44:29
IAG,0.98,15:45:19
IBERDROLA,4.24,15:45:30
INDITEX,1.46,15:45:32
INM.COLONIAL,1.09,15:45:31
MAPFRE,1.29,15:45:27
MELIA HOTELS,0.83,15:44:54
MERLIN,0.09,15:45:09
NATURGY,3.46,15:45:18
PHARMA MAR,1.65,15:45:32
R.E.C.,2.54,15:45:30
REPSOL,2.69,15:44:43
ROVI,0.59,15:45:27
SIEMENS GAME,7.96,15:45:29
SOLARIA,6.85,15:45:28
TELEFONICA,1.08,15:45:31
ACERINOX,-1.32,15:42:26
AENA,-0.21,15:43:32
ARCELORMIT.,-2.75,15:45:23
B.SANTANDER,-1.13,15:45:28
BA.SABADELL,-0.32,15:44:39
BBVA,-1.62,15:45:28
CIE AUTOMOT.,-2.72,15:45:28
INDRA A,-0.99,15:45:14
ACCIONA,3.6,15:45:46
ACS,0.5,15:45:01
ALMIRALL,2.58,15:44:27
AMADEUS,1.05,15:39:19
BANKINTER,0.19,15:45:25
CAIXABANK,1.24,15:45:20
CELLNEX,2.57,15:43:17
ENAGAS,0.84,15:46:06
ENDESA,2.91,15:46:00
FERROVIAL,0.21,15:46:06
FLUIDRA,1.4,15:46:04
GRIFOLS CL.A,0.84,15:46:02
IAG,1.01,15:46:06
IBERDROLA,4.34,15:46:00
INDITEX,1.56,15:45:54
INM.COLONIAL,1.09,15:46:01
MAPFRE,1.29,15:46:06
MELIA HOTELS,0.83,15:44:54
MERLIN,0.09,15:45:56
NATURGY,3.46,15:45:52
PHARMA MAR,1.68,15:46:00
R.E.C.,2.54,15:46:05
REPSOL,2.53,15:44:43
ROVI,0.44,15:46:00
SIEMENS GAME,7.93,15:45:29
SOLARIA,6.85,15:46:05
TELEFONICA,1.13,15:46:03
ACERINOX,-1.32,15:42:26
AENA,-0.21,15:45:36
ARCELORMIT.,-2.75,15:46:00
B.SANTANDER,-1.05,15:46:05
BA.SABADELL,-0.24,15:45:56
BBVA,-1.48,15:45:41
CIE AUTOMOT.,-2.91,15:45:28
INDRA A,-0.99,15:46:06
ACCIONA,3.66,15:46:24
ACS,0.54,15:46:43
ALMIRALL,2.58,15:46:43
AMADEUS,1.15,15:46:27
BANKINTER,0.19,15:45:25
CAIXABANK,1.31,15:46:38
CELLNEX,2.64,15:46:38
ENAGAS,0.84,15:46:42
ENDESA,2.88,15:46:31
FERROVIAL,0.25,15:46:06
FLUIDRA,1.4,15:46:44
GRIFOLS CL.A,0.84,15:46:31
IAG,1.13,15:46:26
IBERDROLA,4.44,15:46:40
INDITEX,1.71,15:46:41
INM.COLONIAL,1.09,15:46:43
MAPFRE,1.29,15:46:43
MELIA HOTELS,0.9,15:46:38
MERLIN,0.09,15:45:56
NATURGY,3.46,15:46:43
PHARMA MAR,1.7,15:46:38
R.E.C.,2.38,15:46:30
REPSOL,2.57,15:44:43
ROVI,0.44,15:46:00
SIEMENS GAME,7.96,15:45:29
SOLARIA,6.81,15:46:31
TELEFONICA,1.22,15:46:30
ACERINOX,-1.32,15:42:26
AENA,-0.1,15:46:24
ARCELORMIT.,-2.92,15:46:28
B.SANTANDER,-1.0,15:46:29
BA.SABADELL,-0.13,15:45:56
BBVA,-1.5,15:46:43
CIE AUTOMOT.,-2.72,15:46:15
INDRA A,-0.99,15:46:44
ACCIONA,3.66,15:46:24
ACS,0.54,15:46:43
ALMIRALL,2.58,15:46:43
AMADEUS,1.08,15:47:05
BANKINTER,0.19,15:45:25
CAIXABANK,1.27,15:47:09
CELLNEX,2.66,15:46:38
ENAGAS,0.84,15:47:10
ENDESA,2.94,15:47:02
FERROVIAL,0.29,15:46:06
FLUIDRA,1.4,15:47:17
GRIFOLS CL.A,0.89,15:47:06
IAG,1.13,15:47:03
IBERDROLA,4.49,15:47:07
INDITEX,1.61,15:46:41
INM.COLONIAL,0.97,15:47:03
MAPFRE,1.29,15:46:45
MELIA HOTELS,0.9,15:46:38
MERLIN,0.09,15:47:08
NATURGY,3.61,15:47:18
PHARMA MAR,1.68,15:47:11
R.E.C.,2.3,15:47:07
REPSOL,2.61,15:44:43
ROVI,0.59,15:46:55
SIEMENS GAME,7.93,15:45:29
SOLARIA,6.81,15:46:31
TELEFONICA,1.22,15:46:30
ACERINOX,-1.32,15:47:05
AENA,-0.1,15:47:11
ARCELORMIT.,-2.92,15:47:19
B.SANTANDER,-1.03,15:47:01
BA.SABADELL,-0.11,15:47:09
BBVA,-1.56,15:47:05
CIE AUTOMOT.,-2.52,15:47:13
INDRA A,-0.99,15:47:13
ACCIONA,3.66,15:46:24
ACS,0.54,15:46:43
ALMIRALL,2.58,15:46:43
AMADEUS,1.08,15:47:05
BANKINTER,0.19,15:45:25
CAIXABANK,1.27,15:47:09
CELLNEX,2.66,15:46:38
ENAGAS,0.84,15:47:10
ENDESA,2.94,15:47:02
FERROVIAL,0.29,15:46:06
FLUIDRA,1.4,15:47:17
GRIFOLS CL.A,0.89,15:47:06
IAG,1.13,15:47:03
IBERDROLA,4.49,15:47:07
INDITEX,1.61,15:46:41
INM.COLONIAL,0.97,15:47:03
MAPFRE,1.29,15:46:45
MELIA HOTELS,0.9,15:46:38
MERLIN,0.09,15:47:08
NATURGY,3.61,15:47:18
PHARMA MAR,1.68,15:47:11
R.E.C.,2.3,15:47:07
REPSOL,2.61,15:44:43
ROVI,0.59,15:46:55
SIEMENS GAME,7.93,15:45:29
SOLARIA,6.81,15:46:31
TELEFONICA,1.22,15:46:30
ACERINOX,-1.32,15:47:05
AENA,-0.1,15:47:11
ARCELORMIT.,-2.92,15:47:19
B.SANTANDER,-1.03,15:47:01
BA.SABADELL,-0.11,15:47:09
BBVA,-1.56,15:47:05
CIE AUTOMOT.,-2.52,15:47:13
INDRA A,-0.99,15:47:13
ACCIONA,3.6,15:46:43
ACS,0.54,15:47:28
ALMIRALL,2.58,15:47:36
AMADEUS,1.01,15:45:25
BANKINTER,0.19,15:47:34
CAIXABANK,1.27,15:47:46
CELLNEX,2.66,15:47:43
ENAGAS,0.79,15:47:38
ENDESA,2.86,15:46:06
FERROVIAL,0.21,15:47:46
FLUIDRA,1.4,15:47:36
GRIFOLS CL.A,0.89,15:47:48
IAG,1.13,15:47:32
IBERDROLA,4.34,15:47:32
INDITEX,1.61,15:47:35
INM.COLONIAL,0.91,15:47:34
MAPFRE,1.29,15:46:38
MELIA HOTELS,0.9,15:47:34
NATURGY,3.53,15:47:50
PHARMA MAR,1.68,15:47:36
R.E.C.,2.14,15:47:26
REPSOL,2.57,15:44:43
ROVI,0.52,15:47:44
SIEMENS GAME,7.93,15:45:29
SOLARIA,6.76,15:46:31
TELEFONICA,1.1,15:47:41
ACERINOX,-1.32,15:47:34
AENA,-0.14,15:47:11
ARCELORMIT.,-2.96,15:47:34
B.SANTANDER,-1.07,15:47:30
BA.SABADELL,-0.11,15:47:39
BBVA,-1.58,15:47:21
CIE AUTOMOT.,-2.33,15:47:38
INDRA A,-0.99,15:47:50
ACCIONA,3.6,15:48:20
ACS,0.54,15:47:28
ALMIRALL,2.58,15:47:56
AMADEUS,1.05,15:48:20
BANKINTER,0.19,15:48:05
CAIXABANK,1.27,15:47:46
CELLNEX,2.66,15:48:13
ENAGAS,0.69,15:47:59
ENDESA,2.81,15:46:06
FERROVIAL,0.21,15:48:27
FLUIDRA,1.63,15:48:06
GRIFOLS CL.A,0.89,15:47:48
IAG,1.16,15:47:32
IBERDROLA,4.34,15:48:25
INDITEX,1.46,15:48:03
INM.COLONIAL,0.84,15:47:34
MAPFRE,1.29,15:48:26
MELIA HOTELS,0.9,15:47:34
NATURGY,3.53,15:48:12
PHARMA MAR,1.68,15:48:19
R.E.C.,2.11,15:48:18
REPSOL,2.61,15:44:43
ROVI,0.52,15:47:56
SIEMENS GAME,8.02,15:45:29
SOLARIA,6.76,15:46:31
TELEFONICA,1.1,15:47:41
ACERINOX,-1.3,15:47:34
AENA,-0.1,15:47:11
ARCELORMIT.,-2.96,15:48:26
B.SANTANDER,-1.02,15:48:26
BA.SABADELL,-0.08,15:47:39
BBVA,-1.58,15:47:58
CIE AUTOMOT.,-2.33,15:47:38
INDRA A,-0.99,15:48:27
ACCIONA,3.66,15:48:20
ACS,0.54,15:47:28
ALMIRALL,2.58,15:47:56
AMADEUS,0.98,15:48:20
BA.SABADELL,0.03,15:48:53
BANKINTER,0.19,15:47:46
CAIXABANK,1.27,15:48:56
CELLNEX,2.61,15:48:31
ENAGAS,0.69,15:46:06
ENDESA,2.83,15:48:58
FERROVIAL,0.21,15:48:41
FLUIDRA,1.55,15:48:55
GRIFOLS CL.A,0.78,15:47:32
IAG,1.22,15:48:25
IBERDROLA,4.49,15:48:32
INDITEX,1.41,15:47:34
INM.COLONIAL,0.84,15:48:32
MAPFRE,1.29,15:48:36
MELIA HOTELS,0.83,15:48:49
NATURGY,3.53,15:48:52
PHARMA MAR,1.68,15:48:55
R.E.C.,2.06,15:44:43
REPSOL,2.61,15:47:56
ROVI,0.52,15:45:29
SIEMENS GAME,8.21,15:48:48
SOLARIA,6.76,15:47:41
TELEFONICA,1.13,15:47:34
ACERINOX,-1.3,15:47:11
AENA,-0.1,15:48:48
ARCELORMIT.,-2.96,15:48:26
B.SANTANDER,-1.0,15:47:39
BBVA,-1.54,15:48:40
CIE AUTOMOT.,-2.33,15:48:52
INDRA A,-0.99,15:48:55
ACCIONA,3.66,15:48:20
ACS,0.54,15:47:28
ALMIRALL,2.58,15:47:56
AMADEUS,0.98,15:48:20
BA.SABADELL,0.03,15:48:53
BANKINTER,0.19,15:47:46
CAIXABANK,1.27,15:48:56
CELLNEX,2.61,15:48:31
ENAGAS,0.69,15:46:06
ENDESA,2.83,15:48:58
FERROVIAL,0.21,15:48:41
FLUIDRA,1.55,15:48:55
GRIFOLS CL.A,0.78,15:47:32
IAG,1.22,15:48:25
IBERDROLA,4.49,15:48:32
INDITEX,1.41,15:47:34
INM.COLONIAL,0.84,15:48:32
MAPFRE,1.29,15:48:36
MELIA HOTELS,0.83,15:48:49
NATURGY,3.53,15:48:52
PHARMA MAR,1.68,15:48:55
R.E.C.,2.06,15:44:43
REPSOL,2.61,15:47:56
ROVI,0.52,15:45:29
SIEMENS GAME,8.21,15:48:48
SOLARIA,6.76,15:47:41
TELEFONICA,1.13,15:47:34
ACERINOX,-1.3,15:47:11
AENA,-0.1,15:48:48
ARCELORMIT.,-2.96,15:48:26
B.SANTANDER,-1.0,15:47:39
BBVA,-1.54,15:48:40
CIE AUTOMOT.,-2.33,15:48:52
INDRA A,-0.99,15:48:55
ACCIONA,3.77,15:48:20
ACS,0.54,15:47:28
ALMIRALL,2.58,15:47:56
AMADEUS,0.98,15:48:20
BA.SABADELL,0.05,15:48:53
BANKINTER,0.22,15:47:46
CAIXABANK,1.27,15:49:06
CELLNEX,2.61,15:49:06
ENAGAS,0.69,15:49:06
ENDESA,2.91,15:49:06
FERROVIAL,0.21,15:49:05
FLUIDRA,1.55,15:48:55
GRIFOLS CL.A,0.78,15:47:32
IAG,1.19,15:48:25
IBERDROLA,4.44,15:49:06
INDITEX,1.41,15:49:04
INM.COLONIAL,0.84,15:48:32
MAPFRE,1.29,15:48:36
MELIA HOTELS,0.83,15:49:06
NATURGY,3.53,15:49:06
PHARMA MAR,1.68,15:48:55
R.E.C.,2.06,15:44:43
REPSOL,2.65,15:49:04
ROVI,0.52,15:45:29
SIEMENS GAME,8.21,15:48:48
SOLARIA,6.76,15:47:41
TELEFONICA,1.1,15:47:34
ACERINOX,-1.3,15:47:11
AENA,-0.1,15:48:48
ARCELORMIT.,-2.96,15:49:03
B.SANTANDER,-1.05,15:47:39
BBVA,-1.58,15:49:03
CIE AUTOMOT.,-2.33,15:48:52
INDRA A,-0.99,15:49:04
ACCIONA,3.66,15:48:20
ACS,0.54,15:49:33
ALMIRALL,2.32,15:47:56
AMADEUS,0.94,15:49:23
BA.SABADELL,0.05,15:49:09
BANKINTER,0.19,15:47:46
CAIXABANK,1.21,15:49:30
CELLNEX,2.61,15:49:12
ENAGAS,0.69,15:49:22
ENDESA,2.91,15:49:34
FERROVIAL,0.21,15:49:23
FLUIDRA,1.55,15:48:55
GRIFOLS CL.A,0.78,15:47:32
IAG,1.19,15:48:25
IBERDROLA,4.39,15:49:32
INDITEX,1.36,15:49:33
INM.COLONIAL,0.84,15:48:32
MAPFRE,1.24,15:48:36
MELIA HOTELS,0.83,15:49:24
NATURGY,3.53,15:49:33
PHARMA MAR,1.68,15:49:18
R.E.C.,2.14,15:44:43
REPSOL,2.61,15:49:04
ROVI,0.52,15:49:23
SIEMENS GAME,8.24,15:48:48
SOLARIA,6.76,15:47:41
TELEFONICA,1.04,15:47:34
ACERINOX,-1.3,15:47:11
AENA,-0.1,15:49:25
ARCELORMIT.,-2.96,15:49:34
B.SANTANDER,-1.05,15:47:39
BBVA,-1.63,15:49:32
CIE AUTOMOT.,-2.33,15:48:52
INDRA A,-0.99,15:49:32
ACCIONA,3.66,15:50:01
ACS,0.45,15:49:45
ALMIRALL,2.23,15:47:56
AMADEUS,0.91,15:50:02
BA.SABADELL,0.03,15:49:47
BANKINTER,0.19,15:47:46
CAIXABANK,1.24,15:50:08
CELLNEX,2.66,15:49:50
ENAGAS,0.64,15:49:22
ENDESA,2.94,15:50:08
FERROVIAL,0.21,15:50:01
FLUIDRA,1.55,15:50:02
GRIFOLS CL.A,0.78,15:47:32
IAG,1.1,15:50:00
IBERDROLA,4.44,15:50:01
INDITEX,1.36,15:49:45
INM.COLONIAL,0.84,15:48:32
MAPFRE,1.24,15:48:36
MELIA HOTELS,0.83,15:50:01
NATURGY,3.53,15:50:08
PHARMA MAR,1.68,15:50:06
R.E.C.,2.14,15:44:43
REPSOL,2.61,15:49:04
ROVI,0.52,15:49:23
SIEMENS GAME,8.36,15:48:48
SOLARIA,6.76,15:47:41
TELEFONICA,1.01,15:47:34
ACERINOX,-1.34,15:47:11
AENA,-0.1,15:50:03
ARCELORMIT.,-2.96,15:50:08
B.SANTANDER,-1.13,15:47:39
BBVA,-1.73,15:50:06
CIE AUTOMOT.,-2.33,15:48:52
INDRA A,-0.99,15:49:56
ACCIONA,3.66,15:50:01
ACS,0.45,15:49:45
ALMIRALL,2.23,15:47:56
AMADEUS,0.91,15:50:02
BA.SABADELL,0.03,15:49:47
BANKINTER,0.19,15:47:46
CAIXABANK,1.24,15:50:08
CELLNEX,2.66,15:49:50
ENAGAS,0.64,15:49:22
ENDESA,2.94,15:50:08
FERROVIAL,0.21,15:50:01
FLUIDRA,1.55,15:50:02
GRIFOLS CL.A,0.78,15:47:32
IAG,1.1,15:50:00
IBERDROLA,4.44,15:50:01
INDITEX,1.36,15:49:45
INM.COLONIAL,0.84,15:48:32
MAPFRE,1.24,15:48:36
MELIA HOTELS,0.83,15:50:01
NATURGY,3.53,15:50:08
PHARMA MAR,1.68,15:50:06
R.E.C.,2.14,15:44:43
REPSOL,2.61,15:49:04
ROVI,0.52,15:49:23
SIEMENS GAME,8.36,15:48:48
SOLARIA,6.76,15:47:41
TELEFONICA,1.01,15:47:34
ACERINOX,-1.34,15:47:11
AENA,-0.1,15:50:03
ARCELORMIT.,-2.96,15:50:08
B.SANTANDER,-1.13,15:47:39
BBVA,-1.73,15:50:06
CIE AUTOMOT.,-2.33,15:48:52
INDRA A,-0.99,15:49:56
ACCIONA,3.72,15:50:01
ACS,0.41,15:50:26
ALMIRALL,2.32,15:50:21
AMADEUS,0.88,15:50:19
BANKINTER,0.15,15:50:30
CAIXABANK,1.24,15:47:46
CELLNEX,2.55,15:50:41
ENAGAS,0.64,15:50:40
ENDESA,2.96,15:50:30
FERROVIAL,0.17,15:50:44
FLUIDRA,1.4,15:50:29
GRIFOLS CL.A,0.81,15:50:40
IAG,1.07,15:47:32
IBERDROLA,4.44,15:50:18
INDITEX,1.41,15:50:34
INM.COLONIAL,0.78,15:50:23
MAPFRE,1.24,15:50:24
MELIA HOTELS,0.83,15:50:44
NATURGY,3.35,15:50:31
PHARMA MAR,1.68,15:50:08
R.E.C.,2.19,15:50:36
REPSOL,2.65,15:44:43
ROVI,0.37,15:50:19
SIEMENS GAME,7.93,15:50:20
SOLARIA,6.52,15:48:48
TELEFONICA,1.1,15:47:41
ACERINOX,-1.34,15:50:11
AENA,-0.14,15:47:11
ARCELORMIT.,-2.96,15:50:33
B.SANTANDER,-1.05,15:50:39
BA.SABADELL,-0.16,15:50:28
BBVA,-1.71,15:50:31
CIE AUTOMOT.,-2.33,15:50:28
INDRA A,-0.99,15:50:37
ACCIONA,3.83,15:51:14
ACS,0.41,15:51:21
ALMIRALL,2.41,15:51:19
AMADEUS,0.84,15:51:13
BANKINTER,0.15,15:51:06
CAIXABANK,1.15,15:51:10
CELLNEX,2.55,15:51:08
ENAGAS,0.74,15:51:18
ENDESA,3.07,15:51:09
FERROVIAL,0.17,15:51:21
FLUIDRA,1.4,15:51:10
GRIFOLS CL.A,0.81,15:51:08
IAG,1.01,15:51:19
IBERDROLA,4.44,15:51:14
INDITEX,1.41,15:51:18
INM.COLONIAL,0.78,15:50:23
MAPFRE,1.24,15:50:24
MELIA HOTELS,0.83,15:51:08
NATURGY,3.42,15:51:16
PHARMA MAR,1.68,15:51:20
R.E.C.,2.27,15:51:20
REPSOL,2.65,15:51:12
ROVI,0.22,15:50:19
SIEMENS GAME,7.89,15:50:20
SOLARIA,6.62,15:51:10
TELEFONICA,1.1,15:47:41
ACERINOX,-1.36,15:51:08
AENA,-0.21,15:47:11
ARCELORMIT.,-2.87,15:51:13
B.SANTANDER,-1.07,15:51:16
BA.SABADELL,-0.19,15:51:16
BBVA,-1.75,15:51:20
CIE AUTOMOT.,-2.62,15:51:04
INDRA A,-1.14,15:51:17
ACCIONA,3.83,15:51:52
ACS,0.41,15:51:35
ALMIRALL,2.41,15:51:19
AMADEUS,0.67,15:51:13
BANKINTER,0.15,15:51:38
CAIXABANK,1.15,15:51:54
CELLNEX,2.59,15:51:49
ENAGAS,0.79,15:51:25
ENDESA,3.07,15:51:09
FERROVIAL,0.08,15:51:54
FLUIDRA,1.4,15:51:44
GRIFOLS CL.A,0.84,15:51:44
IAG,0.89,15:51:54
IBERDROLA,4.44,15:51:27
INDITEX,1.46,15:51:41
INM.COLONIAL,0.78,15:51:25
MAPFRE,1.29,15:50:24
MELIA HOTELS,0.83,15:51:42
NATURGY,3.42,15:51:53
PHARMA MAR,1.68,15:51:50
R.E.C.,2.27,15:51:49
REPSOL,2.65,15:51:12
ROVI,0.15,15:50:19
SIEMENS GAME,8.02,15:51:32
SOLARIA,6.76,15:51:39
TELEFONICA,1.15,15:47:41
ACERINOX,-1.38,15:51:08
AENA,-0.21,15:47:11
ARCELORMIT.,-2.92,15:51:13
B.SANTANDER,-1.13,15:51:36
BA.SABADELL,-0.24,15:51:38
BBVA,-1.8,15:51:44
CIE AUTOMOT.,-2.72,15:51:53
INDRA A,-1.14,15:51:53
ACCIONA,3.83,15:51:52
ACS,0.41,15:51:35
ALMIRALL,2.41,15:51:19
AMADEUS,0.67,15:51:13
BANKINTER,0.15,15:51:38
CAIXABANK,1.15,15:51:54
CELLNEX,2.59,15:51:49
ENAGAS,0.79,15:51:25
ENDESA,3.07,15:51:09
FERROVIAL,0.08,15:51:54
FLUIDRA,1.4,15:51:44
GRIFOLS CL.A,0.84,15:51:44
IAG,0.89,15:51:54
IBERDROLA,4.44,15:51:27
INDITEX,1.46,15:51:41
INM.COLONIAL,0.78,15:51:25
MAPFRE,1.29,15:50:24
MELIA HOTELS,0.83,15:51:42
NATURGY,3.42,15:51:53
PHARMA MAR,1.68,15:51:50
R.E.C.,2.27,15:51:49
REPSOL,2.65,15:51:12
ROVI,0.15,15:50:19
SIEMENS GAME,8.02,15:51:32
